Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-05-07; 	 14:17:01; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	53;
Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-05-07; 	 14:17:10; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	54;
2020-05-07; 	 15:43:58; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	55;
2020-05-07; 	 15:44:16; 	R dispensed; 	206.36;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	55;
2020-05-07; 	 15:44:16; 	g dispensed; 	6191.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	55;
2020-05-07; 	 15:44:16; 	Start quantity; 	2632;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	55;
2020-05-07; 	 15:44:16; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	55;
2020-05-07; 	 15:44:18; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	56;
2020-05-07; 	 15:44:42; 	R dispensed; 	0;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	56;
2020-05-07; 	 15:44:42; 	g dispensed; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	56;
2020-05-07; 	 15:44:42; 	Start quantity; 	-3533;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	56;
2020-05-07; 	 15:44:42; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	56;
2020-05-07; 	 15:44:44; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	57;
Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-05-07; 	 15:44:33; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	58;
2020-05-07; 	 15:44:45; 	R dispensed; 	0;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	58;
2020-05-07; 	 15:44:45; 	g dispensed; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	58;
