Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-05-05; 	 16:16:52; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	47;
2020-05-05; 	 16:17:22; 	R dispensed; 	26.46;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	47;
2020-05-05; 	 16:17:22; 	g dispensed; 	794.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	47;
2020-05-05; 	 16:17:22; 	Start quantity; 	248;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	47;
2020-05-05; 	 16:17:22; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	47;
2020-05-05; 	 16:17:28; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	48;
2020-05-05; 	 16:17:38; 	R dispensed; 	1.46;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	48;
2020-05-05; 	 16:17:38; 	g dispensed; 	44.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	48;
2020-05-05; 	 16:17:38; 	Start quantity; 	-495;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	48;
2020-05-05; 	 16:17:38; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	48;
2020-05-05; 	 16:17:51; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	49;
2020-05-05; 	 16:18:10; 	R dispensed; 	0.86;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	49;
2020-05-05; 	 16:18:10; 	g dispensed; 	26.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	49;
2020-05-05; 	 16:18:10; 	Start quantity; 	-322;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	49;
2020-05-05; 	 16:18:10; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	49;
2020-05-05; 	 16:18:15; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	50;
2020-05-05; 	 16:18:26; 	R dispensed; 	0.40;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	50;
2020-05-05; 	 16:18:26; 	g dispensed; 	12.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	50;
2020-05-05; 	 16:18:26; 	Start quantity; 	-342;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	50;
2020-05-05; 	 16:18:26; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	50;
Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-05-05; 	 16:55:30; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	51;
2020-05-05; 	 16:56:47; 	R dispensed; 	28.39;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	51;
2020-05-05; 	 16:56:47; 	g dispensed; 	852.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	51;
2020-05-05; 	 16:56:47; 	Start quantity; 	988;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	51;
2020-05-05; 	 16:56:47; 	Current quantity; 	136;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	51;
Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-05-05; 	 17:04:03; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	52;
2020-05-05; 	 17:04:27; 	R dispensed; 	30.63;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	52;
2020-05-05; 	 17:04:27; 	g dispensed; 	919.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	52;
2020-05-05; 	 17:04:27; 	Start quantity; 	985;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	52;
2020-05-05; 	 17:04:27; 	Current quantity; 	66;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	52;
