Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-05-24; 	 14:26:35; 	R dispensed; 	32.41;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	246;
2020-05-24; 	 14:26:35; 	g dispensed; 	127;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	246;
2020-05-24; 	 14:45:53; 	R dispensed; 	98.39;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	247;
2020-05-24; 	 14:45:53; 	g dispensed; 	386;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	247;
2020-05-24; 	 14:46:27; 	R dispensed; 	112.19;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	248;
2020-05-24; 	 14:46:27; 	g dispensed; 	440;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	248;
2020-05-24; 	 14:47:00; 	R dispensed; 	45.71;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	249;
2020-05-24; 	 14:47:00; 	g dispensed; 	179;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	249;
2020-05-24; 	 14:47:08; 	R dispensed; 	1.78;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	250;
2020-05-24; 	 14:47:08; 	g dispensed; 	7;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	250;
2020-05-24; 	 14:47:44; 	R dispensed; 	15.61;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	251;
2020-05-24; 	 14:47:44; 	g dispensed; 	61;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	251;
2020-05-24; 	 14:48:00; 	R dispensed; 	0;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	252;
2020-05-24; 	 14:48:00; 	g dispensed; 	0;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	252;
2020-05-24; 	 14:48:25; 	R dispensed; 	23.86;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	253;
2020-05-24; 	 14:48:25; 	g dispensed; 	94;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	253;
Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
